Sorted items by pricing:

Price: 11.00, Host Name: Nico, Neighborhood: Neu Lichtenberg, Room Type: Private room
Price: 11.00, Host Name: Nora, Neighborhood: Parkviertel, Room Type: Private room
Price: 12.00, Host Name: Alina, Neighborhood: südliche Luisenstadt, Room Type: Private room
Price: 12.00, Host Name: Anna, Neighborhood: Grünau, Room Type: Private room
Price: 12.00, Host Name: Ayu, Neighborhood: Prenzlauer Berg Südwest, Room Type: Shared room
Price: 12.00, Host Name: Carolin, Neighborhood: Frankfurter Allee Nord, Room Type: Private room
Price: 12.00, Host Name: Clara Maj, Neighborhood: Tempelhof, Room Type: Private room
Price: 12.00, Host Name: Donal, Neighborhood: Prenzlauer Berg Nord, Room Type: Private room
Price: 12.00, Host Name: Hussain, Neighborhood: Frankfurter Allee Süd FK, Room Type: Shared room
Price: 12.00, Host Name: Jeannette, Neighborhood: Wedding Zentrum, Room Type: Private room
Price: 12.00, Host Name: Jonas, Neighborhood: Parkviertel, Room Type: Private room
Price: 12.00, Host Name: Katrina, Neighborhood: Alt-Lichtenberg, Room Type: Private room
Price: 12.00, Host Name: Kristof, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 12.00, Host Name: Leon, Neighborhood: Brunnenstr. Nord, Room Type: Private room
Price: 12.00, Host Name: Mahon, Neighborhood: Frankfurter Allee Süd FK, Room Type: Private room
Price: 12.00, Host Name: Martin, Neighborhood: Brunnenstr. Nord, Room Type: Private room
Price: 12.00, Host Name: Mike, Neighborhood: Moabit Ost, Room Type: Private room
Price: 12.00, Host Name: Monika, Neighborhood: Wedding Zentrum, Room Type: Private room
Price: 12.00, Host Name: Muhammed, Neighborhood: Frankfurter Allee Süd, Room Type: Shared room
Price: 12.00, Host Name: Ngoc Anh, Neighborhood: Friedrichsfelde Nord, Room Type: Private room
Price: 12.00, Host Name: Nizam, Neighborhood: Hakenfelde, Room Type: Shared room
Price: 12.00, Host Name: NoName, Neighborhood: Osloer Straße, Room Type: Private room
Price: 12.00, Host Name: Norm, Neighborhood: Schöneberg-Nord, Room Type: Shared room
Price: 12.00, Host Name: Paulina, Neighborhood: Osloer Straße, Room Type: Shared room
Price: 12.00, Host Name: Sagar, Neighborhood: Friedrichsfelde Süd, Room Type: Private room
Price: 12.00, Host Name: Sara, Neighborhood: Osloer Straße, Room Type: Private room
Price: 13.00, Host Name: Abdelnasser, Neighborhood: Ost 1, Room Type: Private room
Price: 13.00, Host Name: Amira, Neighborhood: Tempelhof, Room Type: Private room
Price: 13.00, Host Name: Annette, Neighborhood: Frankfurter Allee Süd FK, Room Type: Private room
Price: 13.00, Host Name: Antonio, Neighborhood: Weißensee, Room Type: Private room
Price: 13.00, Host Name: Barei, Neighborhood: Alt-Hohenschönhausen Süd, Room Type: Private room
Price: 13.00, Host Name: Carsten, Neighborhood: Tempelhof, Room Type: Private room
Price: 13.00, Host Name: Claudia, Neighborhood: Rixdorf, Room Type: Private room
Price: 13.00, Host Name: Daniel, Neighborhood: Moabit Ost, Room Type: Private room
Price: 13.00, Host Name: David, Neighborhood: Dammvorstadt, Room Type: Private room
Price: 13.00, Host Name: Florian, Neighborhood: Friedrichsfelde Süd, Room Type: Private room
